slutpris,avgift_kr,boarea_kvm,antal_rum,sald_datum,prisforandring_pct,pris_per_kvm,omrade,url,bostadstyp,raw_text,sald_ar,sald_manad,sald_kvartal,omrade_clean,kvm_per_rum,avgift_per_kvm,avgift_andel,sasong,budkrig,prissankt,storlek_kategori
1500000,9097.0,99.0,4.0,2026-02-27,-3.0,15152.0,A Lägenhet Centralt Väster Örebro,https://www.hemnet.se/salda/lagenhet-4rum-centralt-vaster-orebro-orebro-kommun-lovstagatan-46a-5763508206906160298,lagenheter,"Såld 27 feb. 2026 Lövstagatan 46A Lägenhet Centralt Väster Örebro, Örebro kommun 99 m² 4 rum 9 097 kr/mån Balkong Slutpris 1 500 000 kr -3 % 15 152 kr/m² Erik Olsson Fastighetsförmedling",2026,2,1,Lägenhet Centralt Väster Örebro,24.8,91.9,7.28,vinter,0,1,stor (80-100)
1270000,4097.0,78.5,3.0,2026-02-26,-2.0,16178.0,Lägenhet Örebro,https://www.hemnet.se/salda/lagenhet-3rum-lundby-orebro-kommun-dolomitvagen-68-7569403594091598702,lagenheter,"Såld 26 feb. 2026 Dolomitvägen 68 Lägenhet Örebro, Örebro kommun 78,5 m² 3 rum 4 097 kr/mån Uteplats Slutpris 1 270 000 kr -2 % 16 178 kr/m² Nordå Fastighetsmäklare",2026,2,1,Örebro,26.2,52.2,3.87,vinter,0,1,medel (60-80)
2410000,3811.0,67.0,3.0,2026-02-25,-2.0,35970.0,Lägenhet Centralt / Öster,https://www.hemnet.se/salda/lagenhet-3rum-centralt-oster-orebro-kommun-isgatan-11-6595841311159394743,lagenheter,"Såld 25 feb. 2026 Isgatan 11 Lägenhet Centralt / Öster, Örebro kommun 67 m² 3 rum 3 811 kr/mån Balkong Hiss Slutpris 2 410 000 kr -2 % 35 970 kr/m² Mäklarhuset Örebro",2026,2,1,Centralt / Öster,22.3,56.9,1.9,vinter,0,1,medel (60-80)
1630000,5813.0,65.5,2.0,2026-02-24,-1.0,24885.0,B Lägenhet Väster,https://www.hemnet.se/salda/lagenhet-2rum-vaster-orebro-kommun-karlslundsgatan-11b-1517924757687594475,lagenheter,"Såld 24 feb. 2026 Karlslundsgatan 11B Lägenhet Väster, Örebro kommun 65,5 m² 2 rum 5 813 kr/mån Slutpris 1 630 000 kr -1 % 24 885 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Lägenhet Väster,32.8,88.7,4.28,vinter,0,1,medel (60-80)
1295000,2972.0,34.0,1.0,2026-02-24,0.0,38088.0,A Lägenhet Öster,https://www.hemnet.se/salda/lagenhet-1rum-oster-orebro-kommun-arbetargatan-5a-2478258612233380905,lagenheter,"Såld 24 feb. 2026 Arbetargatan 5A Lägenhet Öster, Örebro kommun 34 m² 1 rum 2 972 kr/mån Balkong Hiss Slutpris 1 295 000 kr ±0 % 38 088 kr/m² Erik Olsson Fastighetsförmedling",2026,2,1,Lägenhet Öster,34.0,87.4,2.75,vinter,0,0,mini (<40)
2225000,4626.0,78.2,3.0,2026-02-23,-3.0,28453.0,Lägenhet Örebro,https://www.hemnet.se/salda/lagenhet-3rum-orebro-orebro-kommun-restalundsvagen-59-3905846876295361906,lagenheter,"Såld 23 feb. 2026 Restalundsvägen 59 Lägenhet Örebro, Örebro kommun 78,2 m² 3 rum 4 626 kr/mån Slutpris 2 225 000 kr -3 % 28 453 kr/m² Svensk Fastighetsförmedling Örebro",2026,2,1,Örebro,26.1,59.2,2.49,vinter,0,1,medel (60-80)
1400000,3470.0,50.0,2.5,2026-02-22,-3.0,28000.0,B Lägenhet Norr,"https://www.hemnet.se/salda/lagenhet-2,5rum-norr-orebro-kommun-bromsgatan-2b-8403522704779560136",lagenheter,"Såld 22 feb. 2026 Bromsgatan 2B Lägenhet Norr, Örebro kommun 50 m² 2,5 rum 3 470 kr/mån Balkong Slutpris 1 400 000 kr -3 % 28 000 kr/m² Mäklarhuset Örebro",2026,2,1,Lägenhet Norr,20.0,69.4,2.97,vinter,0,1,liten (40-60)
1525000,4718.0,70.5,3.0,2026-02-22,-4.0,21631.0,Lägenhet Vasastan,https://www.hemnet.se/salda/lagenhet-3rum-vasastan-orebro-kommun-kilsgatan-14-6571265506678760439,lagenheter,"Såld 22 feb. 2026 Kilsgatan 14 Lägenhet Vasastan, Örebro kommun 70,5 m² 3 rum 4 718 kr/mån Hiss Slutpris 1 525 000 kr -4 % 21 631 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Vasastan,23.5,66.9,3.71,vinter,0,1,medel (60-80)
1045000,3960.0,50.0,2.0,2026-02-20,-5.0,20900.0,B Lägenhet Norr,https://www.hemnet.se/salda/lagenhet-2rum-norr-orebro-kommun-hjortstorpsvagen-20b-220996552238499558,lagenheter,"Såld 20 feb. 2026 Hjortstorpsvägen 20B Lägenhet Norr, Örebro kommun 50 m² 2 rum 3 960 kr/mån Balkong Slutpris 1 045 000 kr -5 % 20 900 kr/m² Wallenstedt Fastighetsmäkleri",2026,2,1,Lägenhet Norr,25.0,79.2,4.55,vinter,0,1,liten (40-60)
1660000,4144.0,53.0,2.0,2026-02-19,-5.0,31321.0,A Lägenhet Södra Ladugårdsängen,https://www.hemnet.se/salda/lagenhet-2rum-sodra-ladugardsangen-orebro-kommun-termikgatan-49a-6969483587068995442,lagenheter,"Maps Data: Google © 2026 Såld 19 feb. 2026 Termikgatan 49A Lägenhet Södra Ladugårdsängen, Örebro kommun 53 m² 2 rum 4 144 kr/mån Balkong Hiss Slutpris 1 660 000 kr -5 % 31 321 kr/m² Mäklarhuset Örebro",2026,2,1,Lägenhet Södra Ladugårdsängen,26.5,78.2,3.0,vinter,0,1,liten (40-60)
2825000,3951.0,86.0,3.0,2026-02-19,3.0,32849.0,Lägenhet Centralt / Öster,https://www.hemnet.se/salda/lagenhet-3rum-centralt-oster-orebro-kommun-engelbrektsgatan-40-2170791398071107608,lagenheter,"Såld 19 feb. 2026 Engelbrektsgatan 40 Lägenhet Centralt / Öster, Örebro kommun 86 m² 3 rum 3 951 kr/mån Balkong Hiss Slutpris 2 825 000 kr +3 % 32 849 kr/m² Mäklarhuset Örebro",2026,2,1,Centralt / Öster,28.7,45.9,1.68,vinter,1,0,stor (80-100)
1200000,4784.0,54.5,2.0,2026-02-19,-11.0,22018.0,C Lägenhet Centralt Väster,https://www.hemnet.se/salda/lagenhet-2rum-centralt-vaster-orebro-kommun-vastra-nobelgatan-30c-4443667775329621940,lagenheter,"Maps Data: Google © 2026 Såld 19 feb. 2026 Västra Nobelgatan 30C Lägenhet Centralt Väster, Örebro kommun 54,5 m² 2 rum 4 784 kr/mån Balkong Hiss Slutpris 1 200 000 kr -11 % 22 018 kr/m² Nordå Fastighetsmäklare",2026,2,1,Lägenhet Centralt Väster,27.2,87.8,4.78,vinter,0,1,liten (40-60)
