url,omrade,bostadstyp,utgangspris,estimerat_varde,skillnad_kr,skillnad_pct,ci_low,ci_high,deal_score,deal_kategori,deal_ikon,underval_pct,deal_reasons,sane_estimate,boarea_kvm,antal_rum,avgift_kr,comps_pris_kvm_90d,comps_antal_90d,scrape_datum
https://www.hemnet.se/bostad/lagenhet-5rum-sorbyangen-orebro-kommun-karlsdalsallen-38-21685121,Sörbyängen,lagenheter,3995000,3302591,-692409,-21.0,2980238,3659810,26,Rimligt pris,⚪,-18.5,Något över marknadspris (~18%) | Starkt område,True,129.0,5.0,7778.0,23821.902654867255,10,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-centralt-orebro-kommun-floragatan-4-21734019,Centralt,lagenheter,2995000,2211925,-783075,-35.4,1996027,2451174,9,Rimligt pris,⚪,-32.7,Något över marknadspris (~33%) | Svagt/okänt område | Få jämförbara,True,67.5,2.0,7778.0,28832.98969072165,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-centralt-vaster-orebro-kommun-idrottsvagen-12-21742953,Centralt Väster,lagenheter,1365000,1158595,-206405,-17.8,1045509,1283912,19,Rimligt pris,⚪,-15.5,Något över marknadspris (~16%) | Få jämförbara,True,72.5,2.0,7778.0,23092.515592515592,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-almby-orebro-kommun-prostvagen-6-21743421,Almby,lagenheter,1395000,1015926,-379074,-37.3,916765,1125812,13,Rimligt pris,⚪,-34.6,Något över marknadspris (~35%) | Få jämförbara,True,58.5,2.0,7778.0,22173.146655922643,2,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-oster-orebro-kommun-lykttandargatan-5-19351536,Centralt Öster,lagenheter,3095000,2576894,-518106,-20.1,2325373,2855619,15,Rimligt pris,⚪,-17.7,Något över marknadspris (~18%),True,76.0,3.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-almby-orebro-kommun-hjalmarvagen-1-nara-universitetet-21310339,Almby,lagenheter,1495000,1096522,-398478,-36.3,989494,1215125,13,Rimligt pris,⚪,-33.6,Något över marknadspris (~34%) | Få jämförbara,True,56.0,2.0,7778.0,22173.146655922643,2,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-sorbyangen-orebro-kommun-abroddgatan-7-21370652,Sörbyängen,lagenheter,1450000,1056040,-393960,-37.3,952964,1170264,25,Rimligt pris,⚪,-34.6,Något över marknadspris (~35%) | Starkt område,True,56.0,2.0,7778.0,23821.902654867255,10,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-norr-orebro-kommun-schantzgatan-10c-campus-uso-21619727,Centralt,lagenheter,795000,685751,-109249,-15.9,618817,759924,12,Rimligt pris,⚪,-13.6,Något över marknadspris (~14%) | Svagt/okänt område | Få jämförbara,True,22.0,1.0,7778.0,28832.98969072165,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-4rum-bettorp-orebro-kommun-kornellvagen-10-21646865,Bettorp,lagenheter,1775000,1745732,-29268,-1.7,1575338,1934556,25,Rimligt pris,⚪,0.4,Nära marknadspris | Få jämförbara,True,93.0,4.0,7778.0,21451.612903225807,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-ormesta-orebro-kommun-olofsgatan-11-21668013,Ormesta,lagenheter,1195000,789068,-405932,-51.4,712050,874416,11,Rimligt pris,⚪,-48.4,Något över marknadspris (~40%) | Få jämförbara,True,30.0,1.0,7778.0,28333.333333333332,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-sodra-lindhult-orebro-kommun-bonstorpsvagen-8-21289084,Lindhult,lagenheter,1595000,1401570,-193430,-13.8,1264768,1553168,13,Rimligt pris,⚪,-11.5,Något över marknadspris (~12%) | Svagt/okänt område | Få jämförbara,True,73.0,3.0,7778.0,24977.645305514157,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-rynningeasen-orebro-kommun-forradsgatan-12-21678975,Rynningeåsen,lagenheter,2200000,1964110,-235890,-12.0,1772401,2176554,14,Rimligt pris,⚪,-9.8,Något över marknadspris (~10%) | Svagt/okänt område | Få jämförbara,True,79.0,3.0,7778.0,31132.075471698114,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-sodra-ladugardsangen-orebro-kommun-lillbackavagen-15-21692688,Ladugårdsängen,lagenheter,1295000,903539,-391461,-43.3,815348,1001268,19,Rimligt pris,⚪,-40.5,Något över marknadspris (~40%) | Starkt område | Få jämförbara,True,38.0,2.0,7778.0,20616.698292220113,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-rynninge-orebro-kommun-varngatan-6g-21700925,Rynninge,lagenheter,1895000,1749307,-145693,-8.3,1578564,1938518,18,Rimligt pris,⚪,-6.2,Något över marknadspris (~6%) | Svagt/okänt område,True,72.0,3.0,7778.0,29640.856419307805,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-oster-orebro-kommun-kasten-ottergatan-2-21714809,Centralt Öster,lagenheter,2195000,1759470,-435530,-24.8,1587735,1949780,14,Rimligt pris,⚪,-22.3,Något över marknadspris (~22%),True,54.1,2.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-sorbyangen-orebro-kommun-karlsdalsallen-55-21742374,Sörbyängen,lagenheter,1495000,1154063,-340937,-29.5,1041419,1278890,25,Rimligt pris,⚪,-27.0,Något över marknadspris (~27%) | Starkt område,True,61.0,3.0,7778.0,23821.902654867255,10,2026-06-15
https://www.hemnet.se/bostad/lagenhet-5rum-almby-orebro-kommun-erik-rosenbergs-vag-12-21742634,Almby,lagenheter,1795000,1807364,12364,0.7,1630954,2002854,25,Rimligt pris,⚪,2.7,Nära marknadspris | Få jämförbara,True,114.0,5.0,7778.0,22173.146655922643,2,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-centralt-vaster-orebro-kommun-vastmannagatan-15-21724436,Centralt Väster,lagenheter,1395000,1258162,-136838,-10.9,1135357,1394249,23,Rimligt pris,⚪,-8.7,Något över marknadspris (~9%) | Få jämförbara,True,77.0,3.0,7778.0,23092.515592515592,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-3rum-centralt-oster-orebro-kommun-alna-grand-1-21397583,Centralt Öster,lagenheter,2350000,2031375,-318625,-15.7,1833100,2251095,17,Rimligt pris,⚪,-13.4,Något över marknadspris (~13%),True,79.0,3.0,7778.0,35032.41758241758,4,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-rynningeasen-orebro-kommun-hindergardsgatan-10b-21425919,Rynningeåsen,lagenheter,1795000,1471139,-323861,-22.0,1327546,1630262,9,Rimligt pris,⚪,-19.6,Något över marknadspris (~20%) | Svagt/okänt område | Få jämförbara,True,51.0,2.0,7778.0,31132.075471698114,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-mellringe-orebro-kommun-irisgatan-36-21485917,Mellringe,lagenheter,495000,580226,85226,14.7,523592,642985,54,Bra fynd,🟢,16.4,Undervärderad med ~16% | Få jämförbara,True,35.0,1.0,7778.0,14357.142857142859,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-2rum-vasastan-orebro-kommun-karlslundsgatan-11a-21505099,Centralt,lagenheter,1750000,1316017,-433983,-33.0,1187565,1458361,9,Rimligt pris,⚪,-30.3,Något över marknadspris (~30%) | Svagt/okänt område | Få jämförbara,True,61.0,2.0,7778.0,28832.98969072165,0,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-mellringe-orebro-kommun-irisgatan-10-21515203,Mellringe,lagenheter,575000,580226,5226,0.9,523592,642985,30,Rimligt pris,⚪,2.9,Nära marknadspris | Få jämförbara,True,35.0,1.0,7778.0,14357.142857142859,1,2026-06-15
https://www.hemnet.se/bostad/lagenhet-1rum-oster-orebro-kommun-formansgatan-16-21518913,Centralt Öster,lagenheter,1295000,818113,-476887,-58.3,738260,906602,14,Rimligt pris,⚪,-55.1,Något över marknadspris (~40%),True,35.0,1.0,7778.0,35032.41758241758,4,2026-06-15
